Date,Open,High,Low,Close,Adj Close,Volume
2021-06-29,18.811012,20.533749,18.764088,19.460011,19.460011,957886998
2021-06-30,19.523729,19.762562,18.179699,19.497236,19.497236,941628359
2021-07-01,19.498968,19.498968,17.644156,18.273293,18.273293,779093195
2021-07-02,18.220669,18.520256,17.305502,18.283562,18.283562,686541946
2021-07-03,18.285458,18.886003,17.898075,18.538818,18.538818,509076297
2021-07-04,18.548805,19.894503,18.028957,19.262838,19.262838,680268075
2021-07-05,19.246891,19.246891,17.814753,18.37159,18.37159,698619085
2021-07-06,18.351877,20.240997,18.351877,20.080465,20.080465,1156986405
2021-07-07,20.091469,21.227631,19.643406,19.764128,19.764128,1110848445
2021-07-08,19.808905,19.867691,18.166824,18.42205,18.42205,1058203545
2021-07-09,18.360317,18.858639,17.637695,18.630384,18.630384,816330237
2021-07-10,18.651854,18.959398,17.781704,18.207788,18.207788,661114024
2021-07-11,18.205702,18.573086,17.883036,18.363968,18.363968,497212243
2021-07-12,18.365906,18.599476,17.165829,17.550354,17.550354,594714863
2021-07-13,17.535229,17.760448,16.694176,16.866161,16.866161,538263708
2021-07-14,16.869373,17.406914,16.039547,16.945683,16.945683,681837334
2021-07-15,16.938698,17.225023,15.543467,15.681652,15.681652,740493636
2021-07-16,15.746853,16.321999,15.170617,15.262865,15.262865,680392108
2021-07-17,15.242046,15.638663,15.049382,15.360056,15.360056,677124647
2021-07-18,15.363485,16.057232,15.197691,15.502412,15.502412,574546105
2021-07-19,15.486979,15.598389,14.432014,14.509062,14.509062,670510020
2021-07-20,14.530746,14.746978,13.422879,13.775897,13.775897,800914402
2021-07-21,13.747907,15.767757,13.474335,15.268477,15.268477,918763868
2021-07-22,15.290893,16.144623,15.006348,16.085718,16.085718,754697839
2021-07-23,16.08935,16.563309,15.266669,16.511562,16.511562,681005827
2021-07-24,16.50045,17.133997,16.34429,16.705832,16.705832,727986313
2021-07-25,16.698149,17.052612,16.188705,16.759659,16.759659,662123046
2021-07-26,16.758341,19.947823,16.689613,18.089653,18.089653,1715187654
2021-07-27,18.050863,19.582033,17.625607,19.499634,19.499634,1093556431
2021-07-28,19.522665,19.986303,18.644123,19.030273,19.030273,1052448400
2021-07-29,19.081388,19.459217,18.638521,19.34585,19.34585,683047916
2021-07-30,19.37767,22.649574,18.872715,22.315962,22.315962,1784301053
2021-07-31,22.264618,23.331911,21.286201,22.753702,22.753702,1206821084
2021-08-01,22.679585,23.919107,21.833097,22.126839,22.126839,1289766472
2021-08-02,22.087084,23.955133,21.42211,23.480349,23.480349,1205839586
2021-08-03,23.493397,24.356684,22.158319,23.875957,23.875957,1505866474
2021-08-04,23.944519,24.970987,22.904833,24.188875,24.188875,1301126744
2021-08-05,24.195911,24.331345,22.562771,24.050495,24.050495,1221315372
2021-08-06,24.061424,24.366409,23.106556,23.859335,23.859335,1229062846
2021-08-07,23.884678,25.099089,23.643023,24.631653,24.631653,1160693889
2021-08-08,24.684465,24.905964,22.609875,23.045609,23.045609,1001659430
2021-08-09,23.042398,24.660282,22.093863,24.287247,24.287247,1065311842
2021-08-10,24.223101,25.477703,23.787743,24.566286,24.566286,1130326992
2021-08-11,24.546949,27.318159,24.46962,25.946539,25.946539,1497841555
2021-08-12,25.941807,26.886778,24.146345,24.917234,24.917234,1230756534
2021-08-13,24.972097,27.758904,24.734995,27.733137,27.733137,1144930390
2021-08-14,27.740587,27.932211,26.502995,27.155422,27.155422,1130955982
2021-08-15,27.160843,27.974796,25.950136,27.904013,27.904013,1030808400
2021-08-16,27.918774,30.479885,27.702209,28.084339,28.084339,1983160447
2021-08-17,27.96682,30.259874,25.954618,26.158136,26.158136,1914250031
2021-08-18,26.151649,26.890163,25.005726,25.512896,25.512896,1595189412
2021-08-19,25.371937,27.064817,24.534897,27.06476,27.06476,1598899266
2021-08-20,27.060467,28.979713,26.707174,28.701841,28.701841,1751490161
2021-08-21,28.700586,29.15737,27.672607,27.861591,27.861591,1455243796
2021-08-22,27.865553,28.643654,26.903683,28.022818,28.022818,1408718304
2021-08-23,28.010876,29.300949,27.831139,28.554102,28.554102,1598569817
2021-08-24,28.595062,28.922617,25.740349,25.752197,25.752197,1613899032
2021-08-25,25.758293,26.844498,25.383457,26.520479,26.520479,1415094740
2021-08-26,26.62656,26.936556,24.040709,24.426327,24.426327,1311934435
2021-08-27,24.417002,26.121941,24.032558,26.018299,26.018299,1210853844
2021-08-28,26.056414,26.184975,25.398354,25.72909,25.72909,723391379
2021-08-29,25.74,26.570942,25.215033,25.813662,25.813662,806571295
2021-08-30,25.804899,26.493799,24.414665,24.980934,24.980934,1007561616
2021-08-31,25.025078,27.482952,24.739326,26.750708,26.750708,1589683012
